dataset,model,seed,lambda_physics,epochs_requested,best_epoch,training_time_sec,params,model_size_mb,rmse,mae,r2,physics_error,boundary_flux_error,fft_error,mae_center,mae_boundary,latency_ms,flops,energy_per_inference_mj_proxy,normalization_protocol,strict_reproducibility
D6,CNN,1,0.003,75,29,100.95117330551147,730041,2.7848854064941406,0.0008143279933171,0.0006543521687825,0.9996833599322956,0.0939691395809253,0.0004236356035107,0.0067690157253916,0.000689246871237,0.0009164891380351,0.0831273964781692,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,0.003,75,20,80.32632303237915,730041,2.7848854064941406,0.0008841426359884,0.0006539802815755,0.9996267396928272,0.1221805531531572,0.0003320013493066,0.0076098701295753,0.0009965169641266,0.0003181584955503,0.083065699731958,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,0.003,75,27,96.17659616470335,730041,2.7848854064941406,0.0007049431288553,0.0005413077433268,0.999762712257487,0.0967431471993525,0.0003282405402084,0.0064273294216642,0.0007048562498918,0.000356593717394,0.0834568889568681,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,0.003,75,30,103.19389820098876,730041,2.7848854064941406,0.0006732454871441,0.0004753677022298,0.999783571702598,0.1076406985521316,0.0002652552284416,0.0059487977220366,0.0007527766623146,0.0001663621951593,0.0831257362944492,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,0.01,75,37,119.1583080291748,730041,2.7848854064941406,0.0006580159827782,0.0004555645792643,0.9997932526146202,0.0579122807830572,0.0002714746442507,0.0056025589971492,0.000618923237198,0.0002498929061403,0.083172565623038,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,0.01,75,22,84.85794377326965,730041,2.7848854064941406,0.0008685888909445,0.000630258235677,0.999639756890962,0.0733777806162834,0.0003249164122583,0.0068059288120518,0.000812924428222,0.0006941856699995,0.0832243755027867,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,0.01,75,45,138.16158270835876,730041,2.7848854064941406,0.0005731245484483,0.0004065042399088,0.9998431569920238,0.0489407010997335,0.0002634315120909,0.0051334741292521,0.000563955642671,0.0002774121821857,0.0833864931179129,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,0.01,75,11,60.02273321151733,730041,2.7848854064941406,0.001044889630447,0.0007582286092122,0.9994786756871088,0.0994741804897785,0.0003988390623514,0.0088955469739933,0.0010975594244276,0.0004748608092389,0.0832675200333629,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,0.01,75,27,97.37300229072572,730041,2.7848854064941406,0.0008341549200919,0.0006349591552734,0.999667753379219,0.0716889134297768,0.0003529545671578,0.0067520854839434,0.0009597583508972,0.0002100462321929,0.0833074994169283,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,0.03,75,29,101.70248103141785,730041,2.7848854064941406,0.0007910185649801,0.0005390354960123,0.9997012275875702,0.0558650912716984,0.0003187382705315,0.0065130826939518,0.0008535484715442,0.0002837158535839,0.0831480475439541,202424000,,train_only_channelwise_standardization,True
